#rig1,rig2,flux,error,dataset
0.28 0.32 2.499567e+01 2.757676e-01 EPHIN_H-1m
0.76 0.83 4.915357e+02 9.842995e+01 EPHIN_H-Kuhn
0.83 0.90 5.074015e+02 1.016071e+02 EPHIN_H-Kuhn
0.90 0.98 5.436790e+02 1.088716e+02 EPHIN_H-Kuhn
0.98 1.06 5.218889e+02 1.045082e+02 EPHIN_H-Kuhn
1.06 1.16 5.722972e+02 1.146024e+02 EPHIN_H-Kuhn
1.16 1.26 5.133365e+02 1.027956e+02 EPHIN_H-Kuhn
1.26 1.38 5.379157e+02 1.077175e+02 EPHIN_H-Kuhn
1.38 1.51 5.199575e+02 1.041214e+02 EPHIN_H-Kuhn
1.51 1.66 5.248596e+02 1.051030e+02 EPHIN_H-Kuhn
1.66 1.83 5.282351e+02 1.057790e+02 EPHIN_H-Kuhn
1.83 2.02 5.030828e+02 1.007423e+02 EPHIN_H-Kuhn
2.02 2.23 4.389036e+02 8.789037e+01 EPHIN_H-Kuhn
2.23 2.47 3.528352e+02 7.065520e+01 EPHIN_H-Kuhn
