#rig1,rig2,flux,error,dataset
0.28 0.32 1.852584e+02 8.805355e-01 EPHIN_H-1m
1.00 1.16 1.570264e+03 4.352655e+01 AMS02_H-PRL2021
1.16 1.33 1.455856e+03 3.166433e+01 AMS02_H-PRL2021
1.33 1.51 1.312740e+03 2.366357e+01 AMS02_H-PRL2021
1.51 1.71 1.154982e+03 1.807681e+01 AMS02_H-PRL2021
1.71 1.92 9.914080e+02 1.388658e+01 AMS02_H-PRL2021
1.92 2.15 8.402786e+02 1.088172e+01 AMS02_H-PRL2021
2.15 2.40 7.031092e+02 8.588296e+00 AMS02_H-PRL2021
2.40 2.67 5.811793e+02 6.749975e+00 AMS02_H-PRL2021
2.67 2.97 4.773027e+02 5.351341e+00 AMS02_H-PRL2021
2.97 3.29 3.907871e+02 4.262332e+00 AMS02_H-PRL2021
3.29 3.64 3.187416e+02 3.410424e+00 AMS02_H-PRL2021
3.64 4.02 2.586028e+02 2.748419e+00 AMS02_H-PRL2021
4.02 4.43 2.094999e+02 2.210398e+00 AMS02_H-PRL2021
4.43 4.88 1.690476e+02 1.770753e+00 AMS02_H-PRL2021
4.88 5.37 1.355083e+02 1.397952e+00 AMS02_H-PRL2021
5.37 5.90 1.086737e+02 1.112917e+00 AMS02_H-PRL2021
5.90 6.47 8.692131e+01 9.147090e-01 AMS02_H-PRL2021
6.47 7.09 6.949961e+01 7.319734e-01 AMS02_H-PRL2021
7.09 7.76 5.544858e+01 5.855294e-01 AMS02_H-PRL2021
7.76 8.48 4.426545e+01 4.727208e-01 AMS02_H-PRL2021
8.48 9.26 3.534244e+01 3.817906e-01 AMS02_H-PRL2021
9.26 10.10 2.822920e+01 3.040602e-01 AMS02_H-PRL2021
10.10 11.00 2.255592e+01 2.436916e-01 AMS02_H-PRL2021
11.00 13.00 1.619606e+01 1.799002e-01 AMS02_H-PRL2021
13.00 16.60 9.367701e+00 1.059320e-01 AMS02_H-PRL2021
16.60 22.80 4.384944e+00 5.100041e-02 AMS02_H-PRL2021
22.80 33.50 1.674985e+00 1.999761e-02 AMS02_H-PRL2021
33.50 48.50 5.811117e-01 7.002504e-03 AMS02_H-PRL2021
48.50 69.70 2.068483e-01 2.477316e-03 AMS02_H-PRL2021
69.70 100.00 7.510096e-02 8.971154e-04 AMS02_H-PRL2021
