#rig1,rig2,flux,error,dataset
0.28 0.32 1.444962e+02 6.825708e-01 EPHIN_H-1m
0.76 0.83 1.390529e+03 2.784532e+02 EPHIN_H-Kuhn
0.83 0.90 1.366601e+03 2.736617e+02 EPHIN_H-Kuhn
0.90 0.98 1.412153e+03 2.827834e+02 EPHIN_H-Kuhn
0.98 1.06 1.308398e+03 2.620064e+02 EPHIN_H-Kuhn
1.06 1.16 1.381144e+03 2.765739e+02 EPHIN_H-Kuhn
1.16 1.26 1.168828e+03 2.340576e+02 EPHIN_H-Kuhn
1.26 1.38 1.149184e+03 2.301238e+02 EPHIN_H-Kuhn
1.38 1.51 1.048301e+03 2.099222e+02 EPHIN_H-Kuhn
1.51 1.66 9.980936e+02 1.998681e+02 EPHIN_H-Kuhn
1.66 1.83 9.332153e+02 1.868762e+02 EPHIN_H-Kuhn
1.83 2.02 8.354769e+02 1.673041e+02 EPHIN_H-Kuhn
2.02 2.23 6.857868e+02 1.373287e+02 EPHIN_H-Kuhn
2.23 2.47 5.292528e+02 1.059828e+02 EPHIN_H-Kuhn
