#rig1,rig2,flux,error,dataset
0.28 0.32 6.224434e+01 3.911389e-01 EPHIN_H-1m
0.76 0.83 9.248633e+02 1.852037e+02 EPHIN_H-Kuhn
0.83 0.90 9.268533e+02 1.856022e+02 EPHIN_H-Kuhn
0.90 0.98 9.814464e+02 1.965345e+02 EPHIN_H-Kuhn
0.98 1.06 9.408702e+02 1.884091e+02 EPHIN_H-Kuhn
1.06 1.16 1.007243e+03 2.017003e+02 EPHIN_H-Kuhn
1.16 1.26 8.766208e+02 1.755432e+02 EPHIN_H-Kuhn
1.26 1.38 8.883759e+02 1.778971e+02 EPHIN_H-Kuhn
1.38 1.51 8.134819e+02 1.628996e+02 EPHIN_H-Kuhn
1.51 1.66 8.088000e+02 1.619621e+02 EPHIN_H-Kuhn
1.66 1.83 7.483331e+02 1.498536e+02 EPHIN_H-Kuhn
1.83 2.02 7.097062e+02 1.421185e+02 EPHIN_H-Kuhn
2.02 2.23 5.943486e+02 1.190182e+02 EPHIN_H-Kuhn
2.23 2.47 4.642569e+02 9.296737e+01 EPHIN_H-Kuhn
