#rig1,rig2,flux,error,dataset
0.28 0.32 1.705922e+02 8.079941e-01 EPHIN_H-1m
0.76 0.83 1.396996e+03 2.797483e+02 EPHIN_H-Kuhn
0.83 0.90 1.393663e+03 2.790807e+02 EPHIN_H-Kuhn
0.90 0.98 1.454518e+03 2.912670e+02 EPHIN_H-Kuhn
0.98 1.06 1.345150e+03 2.693661e+02 EPHIN_H-Kuhn
1.06 1.16 1.426928e+03 2.857420e+02 EPHIN_H-Kuhn
1.16 1.26 1.200418e+03 2.403834e+02 EPHIN_H-Kuhn
1.26 1.38 1.181784e+03 2.366521e+02 EPHIN_H-Kuhn
1.38 1.51 1.073461e+03 2.149603e+02 EPHIN_H-Kuhn
1.51 1.66 1.041115e+03 2.084831e+02 EPHIN_H-Kuhn
1.66 1.83 9.420193e+02 1.886392e+02 EPHIN_H-Kuhn
1.83 2.02 8.803949e+02 1.762990e+02 EPHIN_H-Kuhn
2.02 2.23 7.315059e+02 1.464840e+02 EPHIN_H-Kuhn
2.23 2.47 5.756785e+02 1.152795e+02 EPHIN_H-Kuhn
